"LANGUAGE","Українська"
"PRR_NAME","Ploppable RICO Revisited"
"PRR_LEVEL","Рівень"
"PRR_LVL","Рівень"
"PRR_HOU","Домогосподарство"
"PRR_WOR","Робочі місця"
"PRR_SRV_NON","Відсутні"
"PRR_SRV_RES","Житловий"
"PRR_SRV_IND","Промисловість"
"PRR_SRV_OFF","Офіси"
"PRR_SRV_COM","Комерція"
"PRR_SRV_EXT","Витяг"
"PRR_SRV_DUM","Фіктивний"
"PRR_SUB_HIG","Високий рівень"
"PRR_SUB_LOW","Низький рівень"
"PRR_SUB_W2W","Стіна до стіни"
"PRR_SUB_HEC","Високий рівень еко-будинків"
"PRR_SUB_LEC","Низький рівень еко-будинків"
"PRR_SUB_LEI","Дозвілля"
"PRR_SUB_TOU","Туризм"
"PRR_SUB_ORG","Еко(органічний)"
"PRR_SUB_GEN","Основне"
"PRR_SUB_FIN","Фінансові об'єкти"
"PRR_SUB_ITC","ІТ кластер"
"PRR_SUB_FAR","Ферми"
"PRR_SUB_FOR","Лісова промисловість"
"PRR_SUB_OIL","Нафта"
"PRR_SUB_ORE","Гірнича промисловість"
"PRR_FTR_ALL","Усі об'єкти"
"PRR_FTR_NON","Відсутні"
"PRR_FTR_NAM","Назва"
"PRR_FTR_SET","Фільтр налаштувань: Мод/Автор/Локальні об'єкти/Усе"
"PRR_OPT_SET","Налаштування"
"PRR_OPT_MOD","Мод"
"PRR_OPT_AUT","Автор"
"PRR_OPT_LOC","Локальний"
"PRR_OPT_ENA","Увімкнути RICO"
"PRR_OPT_SER","Сервіс"
"PRR_OPT_SUB","Підсервіс"
"PRR_OPT_UIC","Категорія інтерфейсу"
"PRR_OPT_CST","Вартість будівництва"
"PRR_OPT_CNT","Кількість робітників"
"PRR_OPT_POP","Використовувати Realistic Pop mod"
"PRR_OPT_POL","Увімкнути забруднення"
"PRR_OPT_GRO","Зростаючий"
"PRR_OPT_JB0","Неосвічені робочі місця"
"PRR_OPT_JB1","Освічені робочі місця"
"PRR_OPT_JB2","Добре освічені робочі місця"
"PRR_OPT_JB3","Високоосвічені робочі місця"
"PRR_OPT_URP","Налаштування населення вимкнено, оскільки увімкнено параметр ""Реалістичне населення"""
"PRR_CAT_MON","Монументи"
"PRR_CAT_BEA","Прикраси"
"PRR_CAT_EDU","Освіта"
"PRR_CAT_HEA","Здоров'я"
"PRR_CAT_FIR","Пожежна служба"
"PRR_CAT_POL","Поліція"
"PRR_CAT_POW","Електрика"
"PRR_CAT_WAT","Вода"
"PRR_CAT_GAR","Сміття"
"PRR_CAT_PIN","Industries DLC"
"PRR_CAT_RES","Житловий"
"PRR_CAT_COM","Комерція"
"PRR_CAT_OFF","Офіси"
"PRR_CAT_IND","Промисловість"
"PRR_UIC_REL","Житлова забудова низької щільності"
"PRR_UIC_REH","Житлова забудова високої щільності"
"PRR_UIC_COL","Комерція низької забудови"
"PRR_UIC_COH","Комерція високої забудови"
"PRR_UIC_OFF","Офіси"
"PRR_UIC_IND","Промисловість"
"PRR_UIC_FAR","Сільське господарство"
"PRR_UIC_FOR","Лісова промисловість"
"PRR_UIC_OIL","Нафта"
"PRR_UIC_ORE","Гірнича промисловість"
"PRR_UIC_LEI","Відпочинок"
"PRR_UIC_TOU","Туризм"
"PRR_UIC_ORG","Органічна комерція"
"PRR_UIC_ITC","ІТ кластер"
"PRR_UIC_ECO","Автономні будинки"
"PRR_UIC_NON","Відсутні"
"PRR_SET","Налаштування"
"PRR_SET_RICO","Параметри RICO"
"PRR_SET_HASMOD","Налаштування мода"
"PRR_SET_NOMOD","Немає налаштувань моду"
"PRR_SET_HASAUT","Налаштування автора"
"PRR_SET_NOAUT","Немає налаштувань автора"
"PRR_SET_HASLOC","Локальні налаштування"
"PRR_SET_NOLOC","Немає локальних налаштувань"
"PRR_SET_HASANY","Будь-які налаштування"
"PRR_SET_HASNON","Немає налаштувань"
"PRR_SAV_SAV","Зберегти"
"PRR_SAV_ADD","Додати локальні"
"PRR_SAV_REM","Видалити локальні"
"PRR_SAV_APP","Зберегти та застосувати"
"PRR_EXP","УВАГА: ЕКСПЕРИМЕНТАЛЬНО"
"TRN_CHOICE","Вибрати мову"
"LANGUAGE_GAME","Мова гри"
"PRR_DESCRIPTION","Дозволяє використовувати будівлі RICO більше ніж 4х4 у розмірах, а також налаштування будівель RICO"
"PRR_OPTION_PLP","Миттєво ставити будівлі (без будівництва)"
"PRR_OPTION_ZON","Зростаючі будівлі можуть вижити за межами правильної зони"
"PRR_OPTION_SPC","Посилені будівлі можуть вижити без необхідних спеціалізації району"
"PRR_OPTION_STY","Стилі будівель"
"PRR_OPTION_STR","Заборонити видалення стилів існуючих будівель"
"PRR_OPTION_VAL","Ігнорувати скаргу 'дешевих земель'"
"PRR_OPTION_SVC","Ігнорувати скаргу ""занадто мало послуг"""
"PRR_OPTION_HST","Зробіть всі об'єкти історичними"
"PRR_OPTION_BLC","Зафіксувати рівень родовища, який сприяє підвищеному рівню будівель"
"PRR_OPTION_RPL","Будівлі RICO"
"PRR_OPTION_RGR","Зростаючі будівлі RICO"
"PRR_OPTION_RCO","Усі RICO будівлі (включаючи зростаючі)"
"PRR_OPTION_OTH","Не-RICO будівлі"
"PRR_OPTION_DEM","Параметри руйнування (не впливають на історичні будівлі)"
"PRR_OPTION_BDZ","Запитувати перед знесенням будівель RICO"
"PRR_OPTION_IMP","Дозволити автоматично зносити будівлі RICO"
"PRR_OPTION_IMP2","(напр. при розміщенні доріг або інших будівель)"
"PRR_OPTION_CST","Параметри вартості"
"PRR_OPTION_COV","Перевизначити вартість будівництва"
"PRR_OPTION_CPH","Вартість на домогосподарство"
"PRR_OPTION_CHM","Додатковий мультиплікатор на рівень домогосподарства (%)"
"PRR_OPTION_CJ0","Вартість на неосвічене робоче місце"
"PRR_OPTION_CJ1","Вартість на освічене робоче місце"
"PRR_OPTION_CJ2","Вартість на добре освічене робоче місце"
"PRR_OPTION_CJ3","Вартість на високоосвічене робоче місце"
"PRR_OPTION_DIS","Катастрофи"
"PRR_OPTION_NOC","Катастрофи не впливають на будівлі RICO (запобігає помилкам)"
"PRR_OPTION_LOA","Параметри завантаження"
"PRR_OPTION_LOG","Параметри ведення журналу"
"PRR_OPTION_TMB","Налаштування мініатюри"
"PRR_OPTION_PLO","Параметри будівель, що встановлюються"
"PRR_OPTION_GRO","Параметри будівель, що зростають"
"PRR_OPTION_COM","Параметри скарг"
"PRR_OPTION_MOD","Налаштування мода"
"PRR_OPTION_NOT","Параметри сповіщень"
"PRR_OPTION_WHATSNEW","Показувати повідомлення про оновлення"
"PRR_OPTION_MOREDEBUG","Увімкнути додаткові параметри ведення журналу"
"PRR_OPTION_FORCERESET","Примусово скинути наявні дані будівель при завантаженні гри"
"PRR_OPTION_REGENTHUMBS","Оновити мініатюри"
"PRR_OPTION_SPDHDR","Збільшує швидкість гри, але є причиною затримки при відкритті панелі"
"PRR_OPTION_SPEED","Відключати панель, коли та не використовується"
"PRR_OPTION_FASTHDR","Обробляє мініатюри швидше, але використовує більше пам'яті:"
"PRR_OPTION_FASTHUMB","Обробка мініатюр з прискореною швидкістю"
"PRR_OPTION_THUMBACK","Тло мініатюр"
"PRR_THUMB_COLOR","Колір"
"PRR_THUMB_PLAIN","Пусте"
"PRR_THUMB_SKY","Скайбокс"
"NOTE_CLOSE","Закрити"
"NOTE_DONTSHOWAGAIN","Не показувати знову"
"MES_PAGE","Будь ласка, зверніться до сторінки в майстерні Steam для отримання додаткової інформації."
"UNABLE_TO_OPERATE","Це означає, що мод не здатний працювати і був вимкнений."
"HARMONY_ERROR","Ploppable RICO не зміг завершити необхідні патчі Harmony."
"ERR_HAR0","Помилка при патчуванні Harmony"
"HARMONY_PROBLEM_CAUSES","Можливі причини цієї проблеми:"
"HARMONY_NOT_INSTALLED","Необхідна модифікація Harmony 2 не була встановлена"
"HARMONY_MOD_ERROR","Старий і/або зламаний мод перешкоджає роботі Harmony 2"
"HARMONY_MOD_CONFLICT","Інша модифікація, можливо, намагається використати конфліктний патч Harmony","Possible cause of Harmony error - two mods trying to patch the same thing at once."
"ERR_CON0","Виявлено конфліктні модифікації!"
"CONFLICTING_MODS","Конфліктні моди:"
"CONFLICT_DETECTED","Ploppable RICO Revisited виявив конфлікт з одним з модів."
"PRR_ERR_CON1","Ці модифікації необхідно видалити, перш ніж Ploppable RICO Revisited зможе працювати."
"PRR_CON_PTG0","Виявлено мод Plop the Growables"
"PRR_CON_PTG1","Виявлено мод Plop the Growables - більшість функцій цього моду представлені у Ploppable RICO Revisited. Будь ласка, будьте обережні з використанням одразу обох модів, адже їхні налаштування можуть конфліктувати."
"PRR_CON_PTG2","Використання одразу обох модів нормально можливо лише у разі відсутності конфлікту налаштувань!"
"PRR_UPD_23_0","Plopplable RICO Revisited оновлення 2.3"
"PRR_UPD_23_1","Ploppable RICO Revisited було оновлено до версії 2.3. Деякі основні функції цього оновлення:"
"PRR_UPD_23_2","Ploppable RICO тепер включає функції в стилі 'Plop the Growables' для RICO та не-RICO будівель - детально: дивіться панель опцій."
"PRR_UPD_23_3","Тепер RICO будівлі, можна поставити за межами зон (налаштовується)."
"PRR_UPD_23_4","Повідомлення про 'низьку вартість землі' і 'недостатньо послуг' тепер можна вимкнути."
"PRR_UPD_23_5","Покращено візуалізатор мініатюр, який генерує зображення лише за необхідності, зменшуючи використання пам'яті та покращуючи час завантаження."
"PRR_UPD_234_0","Додано опцію для увімкнення або вимкнення попереджень при знесенні RICO будівель."
"PRR_UPD_234_1","Додано опцію для увімкнення або вимкнення автозносу при побудові чогось над будівлями RICO."
"PRR_UPD_234_2","Вдосконалені сповіщення."
"PRR_UPD_235_0","За замовчуванням зростаючі будівлі мають увімкнуту поведінку 'Plop the Growables' (не впливають на існуючі налаштування)."
"PRR_UPD_235_1","Додано попередження якщо мод 'Plop the Growables' також активний."
"PRR_UPD_235_2","Поліпшена перевірка конфлікту та сповіщення про помилки."
"PRR_UPD_236_0","Поліпшена перевірка конфлікту модів та сповіщення."
"PRR_UPD_237_0","Виправлено повідомлення про помилку Harmony при завантаженні в редактори."
"PRR_UPD_240_0","Додано користувацькі перевизначення витрат."
"PRR_UPD_240_1","Налаштування автоматичного блокування рівня будівель (вимагає мод Advanced Building Level Control)."
"PRR_UPD_240_2","Додано меню мод/автор/локальне до панелі налаштувань (щоб бачити налаштування, відмінні від активних)."
"PRR_UPD_240_3","Вимкнено текстові поля населення, коли встановлено параметр 'використовувати реальність'."
"PRR_UPD_241_0","Покращено підтримку історичних будівель з різними рівнями"
"PRR_UPD_242_0","Сервісні будівлі більше не видимі за замовчуванням в панелі налаштувань RICO"
"PRR_UPD_243_0","Додано параметр, щоб вимкнути сповіщення про оновлення"
"PRR_UPD_25_0","Сумісно з версією гри 1.15 (Plazas & Promenades)"
"PRR_UPD_253_0","Додано підтримку фінансових офісів"
